Case Number,Short Description Summary,Trend Category,Sub-Category,Confidence,Reasoning,Manual Review Required
CS1608337,Mismatch  Wards,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1608756,Unable to include 'doses' as a course length in new templates,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1609321,Adding extra tab to epma pharmacist/technician desktop,Notifications & Communications,Email,Medium,Matched token 'email' among multiple possible matches.,No
CS1610231,"The track drug definition request edit function also doesn't work either, when pressing edit on a request it doesn't disply the pop up box correctly.",Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1610682,Costing issues,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1610842,NGH: PAS messages to TEST Pharmacy System,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1610876,PAS interface,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1610989,Dispensary fallback PCs still not working,Service Requests,Information Request,High,Matched token 'information' in text.,No
CS1612074,Security patch implications,Configuration & Administration,System Administration,High,Matched token 'patch' in text.,No
CS1612090,Update of the Test environment for our Pharmacy EMIS,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1613436,Extra label print on stock labels,Service Requests,Information Request,High,Matched token 'information' in text.,No
CS1613452,Picking ticket incorrect from Omnicell cabinet,Configuration & Administration,System Administration,Medium,Matched token 'setting' among multiple possible matches.,No
CS1613750,PAR report,Configuration & Administration,Configuration Change,Medium,Matched token 'config' among multiple possible matches.,No
CS1613845,MAR chart configuration,Configuration & Administration,Configuration Change,Medium,Matched token 'config' among multiple possible matches.,No
CS1613855,Server error when linking prescription,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1613865,Two separate orders given same order number,Data Management,Data Correction,Medium,Matched token 'duplicate' among multiple possible matches.,No
CS1614036,Disabling TLS Servers,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1614297,Issue with Buprenorphine Controlled Drug Supply Request.,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1614301,Unable to see Overdue Dose(s),Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1614336,Adding dispensing type,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1614456,Training Environment Event Engine not working,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1614566,#949669 Question to Optum - Next dose behaviour,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1615011,Query - ODS Code usage within system,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
