Trend,Case Number,Priority,State,Account,Product,Short Description,Sys Created On,Resolved At,"TTR (days, hrs, mins)","SLA Business Duration (days, hrs, mins)","SLA Actual Duration (days, hrs, mins)",TTR (Seconds),SLA Business Duration (Seconds),SLA Actual Duration (Seconds),SLA Stage,SLA Start Time,SLA Pause Time,SLA End Time,Assignment Group,Assigned To,Sys Updated On,Sys Updated By,Sys Mod Count,Problem,Description,Close Notes
Audit,CS1627665,4 - Low,Closed,North West Anglia NHS Foundation Trust,Symphony,Audit 25-14 Request,04/08/2025 12:25:43,05/08/2025 10:48:00,"22 hrs, 22 mins","5 hrs, 14 mins","21 hrs, 10 mins",80537.0,18856.0,76239.0,Completed,04/08/2025 12:25:43,,05/08/2025 11:10:17,Acute Care Symphony Support Level 1,Gareth Evans,05/08/2025 11:10:19,system,16,,Please can you complete an audit using the attached parameters,"Hello Donna,
 
Thanks for confirming that I've resolved your case CS1627665.
 
To resolve this, I provided the requested audit.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
Audit,CS1627877,4 - Low,Closed,Bedford Hospital NHS Trust,Symphony,Audit request,04/08/2025 15:28:50,20/08/2025 14:54:20,"15 days, 23 hrs, 25 mins","2 days, 6 hrs, 37 mins","8 days, 6 hrs, 37 mins",1380330.0,196632.0,715032.0,Completed,04/08/2025 15:28:50,,26/08/2025 09:09:27,Acute Care Symphony Support Level 1,Konrad Siddons,26/08/2025 09:09:29,system,25,,"Hi,
Could I get an audit report for all activity on patient M031245 from 01/01/2025 to present please?
Thank you.
Kind regards,
Kahlil","Hello Kahlil,
 
I'm pleased to let you know that we've found a resolution for your case CS1627877.
 
To resolve this:

We have interrogated the Symphony audit tables.
Please find the attached spreadsheet showing details of users who have accessed data relating to the Patient with Hospital Number M031245, from 01/01/25 onwards. 

The spreadsheet contains tabs for:

Users who have accessed the eView data for the Patient.
Users who have searched for the Patient using their Hospital Number
Users who have searched for the Patient using their NHS Number - No entries found
Users who have searched for the Patient using their forename and Surname - No entries found.
Users who have carried out a Patient Search using the Date of Birth of the Patient in question (though these searches may be for other patients)., please follow these steps:

I hope this helps
Many thanks
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
Audit,CS1630452,3 - Medium,Closed,North Cumbria Integrated Care NHS Foundation Trust,Symphony,Access Audit,08/08/2025 11:30:24,08/08/2025 15:02:46,"3 hrs, 32 mins","3 hrs, 26 mins","3 hrs, 26 mins",12742.0,12379.0,12379.0,Completed,08/08/2025 11:30:24,,08/08/2025 16:40:11,Acute Care Symphony Support Level 1,Gareth Evans,15/08/2025 09:59:14,system,21,,"Can you please provide an audit of who has accessed the Symphony record of the following patient, including date, time and staff name for the period 01/08/2024 - 07/08/2025.
For patient details please contact Angela.Cooke@ncic.nhs.uk.
Many thanks.","Hello Angela,
 
I'm pleased to let you know that we've found a resolution for your case CS1630452.
 
To resolve this, we provided the requested audit.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
Audit,CS1648961,4 - Low,Closed,North West Anglia NHS Foundation Trust,Symphony,Audit 25-18 Request,12/09/2025 09:53:58,12/09/2025 15:53:02,"5 hrs, 59 mins","5 hrs, 59 mins","5 hrs, 59 mins",21544.0,21544.0,21544.0,Completed,12/09/2025 09:53:58,,12/09/2025 16:27:09,Acute Care Symphony Support Level 1,Shazad Ishaque,12/09/2025 16:27:11,system,14,,Please can an audit be completed using the parameters attached,"Hello Donna,
 
I'm pleased to let you know that we've found a resolution for your case CS1648961.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
Audit,CS1649123,4 - Low,Closed,Isle Of Wight NHS Trust,Symphony,Audit of who created 2 records,12/09/2025 11:23:24,15/09/2025 12:10:21,"3 days, 46 mins","8 hrs, 46 mins","3 days, 46 mins",262017.0,31617.0,262017.0,Completed,12/09/2025 11:23:24,,19/09/2025 08:13:51,Acute Care Symphony Support Level 1,Konrad Siddons,19/09/2025 08:13:51,john.moore9@nhs.net,7,,"On the 11th 2 records were created in Symphony with a patient name of Unknown, Unknown under local ID's of IW461836 & IW461837.  there were no episodes created in Symphony but I need to know who created the record in Symphony.  thanks","Hello John,
 
I'm pleased to let you know that we've found a resolution for your case CS1649123.
 
To resolve this:

We have interrogated the Live Symphony database and our findings are as follows:

Patient IW461836 (Name = Unknown Unknown) was created on 11/09/25 @ 21:52 apparently by user harrist .

Patient IW461837 (Name = Unknown Unknown) was created on 11/09/25 @ 21:57 also by user harrist .

I hope this helps

Many thanks

 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
Audit,CS1649186,3 - Medium,Closed,North Cumbria Integrated Care NHS Foundation Trust,Symphony,Audit Report of Staff Activity,12/09/2025 12:10:03,15/09/2025 15:41:24,"3 days, 3 hrs, 31 mins","1 day, 11 hrs, 42 mins","2 days, 23 hrs, 42 mins",271881.0,128541.0,258141.0,Completed,12/09/2025 12:10:03,,15/09/2025 15:41:24,Acute Care Symphony Support Level 1,Gareth Evans,15/09/2025 15:41:26,system,16,,"Can you please provide an audit of all patient activity in Symphony by the following:
Staff Name: Kelly Kirkbride
Timeframe: 04/04/2023 - 12/09/2025
Many thanks.",Closed by customer.
Audit,CS1649986,4 - Low,Closed,Gibraltar Health Authority (GHA),Symphony,Audit reports only retrieving results up to 2022 ,15/09/2025 12:29:04,23/09/2025 11:52:55,"7 days, 23 hrs, 23 mins","1 day, 17 hrs, 16 mins","6 days, 10 hrs, 56 mins",689031.0,148562.0,557787.0,Completed,15/09/2025 12:29:04,,23/09/2025 12:03:48,Acute Care Symphony Support Level 2,Sheree Chadwick,23/09/2025 12:03:50,system,40,,"All audit reports seem to be running of an old database; there was an update to Symphony and Camis in March 2022 not sure if this had an impact on this or not.

the databases that seem to be outdated are:

PatDetailsAudit
PatSearchAudit
EAuditAudit

can this be looked into please.","Hello Annette,
 
I'm pleased to let you know that we've found a resolution for your case CS1649986.
 
To resolve this, entered the audit tables to articles to be replicated,
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Sheree"
Audit,CS1650585,3 - Medium,Closed,North Cumbria Integrated Care NHS Foundation Trust,Symphony,Audit of Patient record,16/09/2025 10:22:26,16/09/2025 14:14:27,"3 hrs, 52 mins","2 hrs, 5 mins","2 hrs, 5 mins",13921.0,7543.0,7543.0,Completed,16/09/2025 10:22:26,,16/09/2025 14:17:02,Acute Care Symphony Support Level 1,Gareth Evans,16/09/2025 14:17:04,system,16,,"Good Morning.  Can you please provide an audit of the following patient's record in Symphony to show when eView and/or demographic details were accessed or the patient searched for and by whom. 

NHS No: 400 813 2104
Timescales: 01/09/2025 - 15/09/2025

If you require patient name and DoB please let me know.
Many thanks in advance.

Kind Regards
Angela","Hello Angela,
 
Thanks for confirming that we've found a resolution for your case CS1650585.
 
To resolve this, I provided the requested audit.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
Audit,CS1657322,3 - Medium,Closed,Wye Valley NHS Trust,Symphony,Missing ED Discharge Reports,26/09/2025 13:14:09,21/10/2025 14:09:48,"25 days, 55 mins","3 days, 18 hrs","17 days, 1 hr, 43 mins",2163339.0,324038.0,1474986.0,Completed,26/09/2025 13:14:09,,21/10/2025 14:38:02,Acute Care Symphony Support Level 2,Sheree Chadwick,21/10/2025 14:38:04,system,102,,Our ED team have checked their 7 day audit report for patients that have attended ED and noticed that a significant number of ED summary documents have not been sent out patient's GP systems via WVT TIE and Docman. When we checked the TIE for the patients in the attached documents it shows that their documents were not received by the TIE from Symphony. Please can you check why the associated Documents were not sent from Symphony and if possible resend them to our TIE. Many thanks Steffen,"Hello Steffen,
 
I'm pleased to let you know that we've found a resolution for your case CS1657322.
 
To resolve this, Trust have had to reinstall symphony on some machines.  I have pushed through any failed discharge messages.  Messages are now being created from the reinstalled pcs.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Sheree"
Audit,CS1658937,4 - Low,Closed,Betsi Cadwaladr University Healthboard,Symphony,unable to export from e-audit,30/09/2025 10:11:31,03/10/2025 14:12:25,"3 days, 4 hrs","1 day, 3 hrs, 58 mins","3 days, 3 hrs, 35 mins",273654.0,100690.0,272120.0,Completed,30/09/2025 10:11:31,,06/10/2025 17:12:53,Acute Care Symphony Support Level 1,Konrad Siddons,06/10/2025 17:12:55,system,14,,Unable to export details to excel from E-Audit when opting for  'list of patients',"Hello Sarah,
 
I'm pleased to let you know that we've found a resolution for your case CS1658937.
 
To resolve this:

Your having confirmed that the issue is no longer apparent this case has been set to resolved.

Many thanks
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
