Case Number,Short Description Summary,Trend Category,Sub-Category,Confidence,Reasoning,Manual Review Required
CS1611086,Review Service Inefficiencies,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1613423,"PATIENT ID MF 2125431,Histopathology pathology report",Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1613980,multiple version of same result,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1615018,CDS 6.3,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1615914,"tQuest protocol questions, can we default answers?",Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1616360,No results being processed by Keystone,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1616490,SQL reporting,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1616535,ECDS v4 translation service,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1617259,GP practice reporting pathology reports are missing from Monday,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1617433,Query on Keystone status.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1617453,Messages stuck in sending,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1617827,Error Event in Keystone Enterprise,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1618088,Lab reports not being picked up,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1618548,Keystone - Partners,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1618665,Reports showing under incorrect responsible clinician,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1619008,Telepath to Review interface failed 20/07/2025 Open Time: 17:36,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1619957,RE: CDS 6.3,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1620056,We can see there are 227 files stuckin suspect folder,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1620179,Keystone letter template pulling wrong department header,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1620667,Additional information printing off tQuest form - Unreadable,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1620967,Keystone - Test Environment,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1621124,Error Importing Report Error,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1621233,Suspect Folder,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1621666,Copy to CRIS,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1622463,Making CDS V63 Live,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1622925,Schedules have skipped since 11:30,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
